train_dataset: 280
val_dataset: 35
test_dataset: 35
ext_dataset: 150
No Weights Found!! Starting From Scratch
val_total_loss:3.43E-02, val_vector_loss:3.39E+00, val_position_loss:1.73E-02,
ext_total_loss:4.42E-02, ext_vector_loss:3.66E+00, ext_position_loss:2.59E-02,
val_total_loss:6.73E-02, val_vector_loss:3.41E+00, val_position_loss:5.02E-02,
ext_total_loss:7.40E-02, ext_vector_loss:3.70E+00, ext_position_loss:5.55E-02,
val_total_loss:8.08E-02, val_vector_loss:3.37E+00, val_position_loss:6.40E-02,
ext_total_loss:8.76E-02, ext_vector_loss:3.66E+00, ext_position_loss:6.93E-02,
val_total_loss:6.40E-02, val_vector_loss:3.23E+00, val_position_loss:4.78E-02,
ext_total_loss:7.03E-02, ext_vector_loss:3.52E+00, ext_position_loss:5.28E-02,
val_total_loss:3.98E-02, val_vector_loss:3.07E+00, val_position_loss:2.44E-02,
ext_total_loss:4.78E-02, ext_vector_loss:3.34E+00, ext_position_loss:3.11E-02,
val_total_loss:5.09E-02, val_vector_loss:2.99E+00, val_position_loss:3.60E-02,
ext_total_loss:5.28E-02, ext_vector_loss:3.25E+00, ext_position_loss:3.65E-02,
val_total_loss:7.60E-02, val_vector_loss:2.97E+00, val_position_loss:6.12E-02,
ext_total_loss:7.39E-02, ext_vector_loss:3.22E+00, ext_position_loss:5.78E-02,
val_total_loss:7.24E-02, val_vector_loss:2.97E+00, val_position_loss:5.75E-02,
ext_total_loss:7.02E-02, ext_vector_loss:3.23E+00, ext_position_loss:5.40E-02,
val_total_loss:4.22E-02, val_vector_loss:3.02E+00, val_position_loss:2.71E-02,
ext_total_loss:4.14E-02, ext_vector_loss:3.29E+00, ext_position_loss:2.50E-02,
val_total_loss:4.08E-02, val_vector_loss:3.09E+00, val_position_loss:2.53E-02,
ext_total_loss:5.19E-02, ext_vector_loss:3.38E+00, ext_position_loss:3.50E-02,
val_total_loss:6.81E-02, val_vector_loss:3.16E+00, val_position_loss:5.23E-02,
ext_total_loss:7.49E-02, ext_vector_loss:3.46E+00, ext_position_loss:5.76E-02,
val_total_loss:7.93E-02, val_vector_loss:3.17E+00, val_position_loss:6.34E-02,
ext_total_loss:8.55E-02, ext_vector_loss:3.47E+00, ext_position_loss:6.81E-02,
val_total_loss:5.98E-02, val_vector_loss:3.11E+00, val_position_loss:4.43E-02,
ext_total_loss:6.56E-02, ext_vector_loss:3.40E+00, ext_position_loss:4.86E-02,
val_total_loss:3.61E-02, val_vector_loss:3.04E+00, val_position_loss:2.09E-02,
ext_total_loss:4.29E-02, ext_vector_loss:3.32E+00, ext_position_loss:2.63E-02,
val_total_loss:5.33E-02, val_vector_loss:3.01E+00, val_position_loss:3.83E-02,
ext_total_loss:5.47E-02, ext_vector_loss:3.28E+00, ext_position_loss:3.83E-02,
val_total_loss:7.48E-02, val_vector_loss:2.99E+00, val_position_loss:5.99E-02,
ext_total_loss:7.33E-02, ext_vector_loss:3.25E+00, ext_position_loss:5.71E-02,
val_total_loss:7.18E-02, val_vector_loss:2.97E+00, val_position_loss:5.70E-02,
ext_total_loss:7.00E-02, ext_vector_loss:3.24E+00, ext_position_loss:5.38E-02,
val_total_loss:4.26E-02, val_vector_loss:2.96E+00, val_position_loss:2.78E-02,
ext_total_loss:4.30E-02, ext_vector_loss:3.24E+00, ext_position_loss:2.68E-02,
val_total_loss:4.05E-02, val_vector_loss:3.01E+00, val_position_loss:2.54E-02,
ext_total_loss:5.09E-02, ext_vector_loss:3.30E+00, ext_position_loss:3.44E-02,
val_total_loss:6.40E-02, val_vector_loss:3.08E+00, val_position_loss:4.86E-02,
ext_total_loss:7.16E-02, ext_vector_loss:3.38E+00, ext_position_loss:5.47E-02,
val_total_loss:7.96E-02, val_vector_loss:3.13E+00, val_position_loss:6.40E-02,
